Albania,8,4,12
American Samoa,8,1,9
Andorra,11,12,23
Angola,9,0,9
Antigua and Barbuda,10,0,10
Aruba,8,0,8
Bangladesh,9,0,9
Belize,12,0,12
Benin,11,0,11
Bhutan,9,0,9
Bolivia,14,6,20
Bosnia and Herzegovina,7,7,14
British Virgin Islands,9,2,11
Brunei,5,0,5
Burkina Faso,9,0,9
Cambodia,9,0,9
Cape Verde,6,0,6
Cayman Islands,10,2,12
Central African Republic,10,0,10
Chad,12,0,12
Comoros,6,0,6
Republic of the Congo,12,0,12
Democratic Republic of the Congo,10,0,10
Cook Islands,8,0,8
Dominica,6,1,7
El Salvador,11,0,11
Equatorial Guinea,9,0,9
The Gambia,9,0,9
Guam,8,1,9
Guinea,11,0,11
Guinea-Bissau,6,0,6
Honduras,11,1,12
Kiribati,4,0,4
Korea,0,1,1
Laos,9,0,9
Lesotho,11,0,11
Liberia,12,0,12
Libya,10,0,10
Madagascar,12,2,14
Malawi,10,0,10
Maldives,8,0,8
Mali,13,0,13
Malta,16,2,18
Marshall Islands,3,0,3
Mauritania,9,0,9
Federated States of Micronesia,5,0,5
Monaco,20,10,30
Myanmar,17,0,17
Nauru,6,0,6
Nepal,13,4,17
Nicaragua,12,0,12
Oman,9,0,9
Palau,5,0,5
Palestine,6,0,6
Papua New Guinea,10,0,10
Rwanda,9,0,9
Saint Kitts and Nevis,6,0,6
Saint Lucia,6,0,6
Saint Vincent and the Grenadines,8,0,8
San Marino,14,10,24
São Tomé and Príncipe,6,0,6
Seychelles,9,0,9
Sierra Leone,11,0,11
Solomon Islands,9,0,9
Somalia,9,0,9
South Sudan,1,0,1
Swaziland,10,1,11
East Timor,4,2,6
Turkmenistan,6,0,6
Tuvalu,3,0,3
Vanuatu,8,0,8
Yemen,7,0,7
North Borneo,1,0,1
Malaya,2,0,2
Republic of China,3,0,3
Saar,1,0,1
North Yemen,2,0,2
South Yemen,1,0,1
Refugee Olympic Team,1,0,1
