,drzava,udelezbe_poletne,udelezbe_zimske,udelezbe_skupaj
0,Albania,8,4,12
1,American Samoa,8,1,9
2,Andorra,11,12,23
3,Angola,9,0,9
4,Antigua and Barbuda,10,0,10
5,Aruba,8,0,8
6,Bangladesh,9,0,9
7,Belize,12,0,12
8,Benin,11,0,11
9,Bhutan,9,0,9
10,Bolivia,14,6,20
11,Bosnia and Herzegovina,7,7,14
12,British Virgin Islands,9,2,11
13,Brunei,5,0,5
14,Burkina Faso,9,0,9
15,Cambodia,9,0,9
16,Cape Verde,6,0,6
17,Cayman Islands,10,2,12
18,Central African Republic,10,0,10
19,Chad,12,0,12
20,Comoros,6,0,6
21,Republic of the Congo,12,0,12
22,Democratic Republic of the Congo,10,0,10
23,Cook Islands,8,0,8
24,Dominica,6,1,7
25,El Salvador,11,0,11
26,Equatorial Guinea,9,0,9
27,The Gambia,9,0,9
28,Guam,8,1,9
29,Guinea,11,0,11
30,Guinea-Bissau,6,0,6
31,Honduras,11,1,12
32,Kiribati,4,0,4
33,Korea,0,1,1
34,Laos,9,0,9
35,Lesotho,11,0,11
36,Liberia,12,0,12
37,Libya,10,0,10
38,Madagascar,12,2,14
39,Malawi,10,0,10
40,Maldives,8,0,8
41,Mali,13,0,13
42,Malta,16,2,18
43,Marshall Islands,3,0,3
44,Mauritania,9,0,9
45,Federated States of Micronesia,5,0,5
46,Monaco,20,10,30
47,Myanmar,17,0,17
48,Nauru,6,0,6
49,Nepal,13,4,17
50,Nicaragua,12,0,12
51,Oman,9,0,9
52,Palau,5,0,5
53,Palestine,6,0,6
54,Papua New Guinea,10,0,10
55,Rwanda,9,0,9
56,Saint Kitts and Nevis,6,0,6
57,Saint Lucia,6,0,6
58,Saint Vincent and the Grenadines,8,0,8
59,San Marino,14,10,24
60,São Tomé and Príncipe,6,0,6
61,Seychelles,9,0,9
62,Sierra Leone,11,0,11
63,Solomon Islands,9,0,9
64,Somalia,9,0,9
65,South Sudan,1,0,1
66,Swaziland,10,1,11
67,East Timor,4,2,6
68,Turkmenistan,6,0,6
69,Tuvalu,3,0,3
70,Vanuatu,8,0,8
71,Yemen,7,0,7
72,North Borneo,1,0,1
73,Malaya,2,0,2
74,Republic of China,3,0,3
75,Saar,1,0,1
76,North Yemen,2,0,2
77,South Yemen,1,0,1
78,Refugee Olympic Team,1,0,1
