,drzava,udelezbe_zimske
0,Albania,4
1,Algeria,3
2,American Samoa,1
3,Andorra,12
4,Argentina,19
5,Armenia,7
6,Australia,19
7,Austria,23
8,Azerbaijan,6
10,Belarus,7
11,Belgium,21
12,Bermuda,8
13,Bolivia,6
14,Bosnia and Herzegovina,7
15,Brazil,8
16,British Virgin Islands,2
17,Bulgaria,20
19,Cameroon,1
20,Canada,23
21,Cayman Islands,2
22,Chile,17
23,China,11
24,Chinese Taipei,12
25,Colombia,2
26,Costa Rica,6
27,Croatia,8
28,Cyprus,11
29,Czech Republic,7
30,Czechoslovakia,16
32,Denmark,14
33,Dominica,1
35,East Timor,2
36,Ecuador,1
37,Egypt,1
38,Eritrea,1
39,Estonia,10
40,Ethiopia,2
42,Fiji,3
43,Finland,23
44,France,23
46,Georgia,7
47,Germany,12
48,East Germany,6
49,West Germany,6
50,United Team of Germany,3
51,Ghana,2
52,Great Britain,23
53,Greece,19
54,Guam,1
55,Guatemala,1
57,Honduras,1
58,Hong Kong,5
59,Hungary,23
61,Iceland,18
62,India,10
63,Iran,11
64,Ireland,7
65,Israel,7
66,Italy,23
68,Jamaica,8
69,Japan,21
71,Kazakhstan,7
72,Kenya,4
73,Korea,1
74,North Korea,9
75,South Korea,18
76,Kosovo,1
77,Kyrgyzstan,7
79,Latvia,11
80,Lebanon,17
81,Liechtenstein,19
82,Lithuania,9
83,Luxembourg,9
85,North Macedonia,6
86,Madagascar,2
87,Malaysia,1
88,Malta,2
89,Mexico,9
90,Moldova,7
91,Monaco,10
92,Mongolia,14
93,Montenegro,3
94,Morocco,7
96,Nepal,4
97,Netherlands,21
98,Netherlands Antilles,2
99,New Zealand,16
100,Nigeria,1
101,Norway,23
103,Pakistan,3
104,Paraguay,1
105,Peru,2
106,Philippines,5
107,Poland,23
108,Portugal,8
109,Puerto Rico,7
111,Romania,21
112,Russia,6
113,Unified Team,1
114,Olympic Athletes from Russia,1
115,Soviet Union,9
117,San Marino,10
118,Senegal,5
119,Serbia,3
120,Serbia and Montenegro,3
121,Yugoslavia,14
122,Slovakia,7
123,Slovenia,8
124,Singapore,1
125,South Africa,7
126,Spain,20
127,Swaziland,1
128,Sweden,23
129,Switzerland,23
131,Tajikistan,4
132,Thailand,4
133,Togo,2
134,Tonga,2
135,Trinidad and Tobago,3
136,Turkey,17
138,Ukraine,7
139,United States,23
140,Uruguay,1
141,Uzbekistan,7
143,Venezuela,4
144,Virgin Islands,7
146,Zimbabwe,1
147,,1117
